はきはき	16	522	23
はぐらかす	45	723	29
はぐる	25	231	10
はしたない	39	217	16
はたと	14	640	30
はたはた	3	27	10
はためく	49	430	26
はだける	9	257	23
はだら	5	8	1
はっ	1454	2201	172
はっきり	10290	66632	2780
はったり	50	626	31
はつる	12	199	4
はて	416	575	90
はてな	286	3052	38
はにかみ屋	11	39	4
はにかむ	6	583	29
はらはら	48	1388	141
はりはり	16	7	8
はん	5221	4455	37
はんなり	57	147	7
ばか	607	722	2
ばさばさ	2	13	26
ばたつく	2	150	12
ばたばた	25	2163	297
ばっさり	33	1080	50
ばらす	42	2044	111
ばらつき	1090	5762	81
ばらつく	32	864	12
ばらばら	706	2919	399
ばら肉	61	407	51
ばり	1270	2214	42
ばりばり	11	4046	193
ばん	5739	1383	123
ぱあ	53	7001	70
ぱくつく	1	44	5
ぱくぱく	14	621	124
ぱくり	10	44	113
ぱさぱさ	3	459	57
ぱたぱた	1	685	56
ぱたり	5	185	16
ぱち	248	4136	96
ぱちぱち	15	94	106
ぱちんこ	336	9563	335
ぱっくり	7	196	19
ぱったり	18	324	28
ぱっちり	11	431	47
ぱらつく	3	185	23
ぱらぱら	7	2092	117
ひく	484	18050	5
ひくひく	2	78	30
ひけらかす	36	391	23
ひしと	10	118	7
ひしひし	25	1861	49
ひしゃげる	3	180	39
ひそひそ	14	470	54
ひたひた	16	490	43
ひたぶる	6	45	5
ひたむき	212	1026	68
ひっそり	518	3844	190
ひもじい	9	345	27
ひゅっ	2	50	4
ひょいひょい	2	90	5
ひょこひょこ	11	110	8
ひょっこり	156	610	50
ひょっと	104	3	413
ひょっとこ	80	217	5
ひょろひょろ	19	186	17
ひょろ長い	15	74	5
ひょんな	173	478	54
ひらひら	71	760	92
ひりひり	14	82	41
ひんやり	22	1372	88
ひん曲がる	2	101	1
ひ弱	121	564	35
びく	694	494	29
びくびく	2	512	79
びしょぬれ	3	477	35
びしょびしょ	6	150	44
びたり	1	18	2
びっくり	1058	12499	2181
びっしょり	8	603	52
びっしり	154	2229	122
びっちり	5	169	15
びら	534	109	101
びり	85	328	83
びりびり	11	621	43
びんた	24	387	16
ぴかぴか	23	2357	163
ぴくぴく	11	411	27
ぴくり	1	213	38
ぴしゃり	10	257	39
ぴたり	66	1967	114
ぴちぴち	69	374	35
ぴちゃぴちゃ	2	32	4
ぴっ	5	12579	215
ぴったり	760	1200	788
ぴっちり	12	81	16
ぴょこぴょこ	1	108	5
ぴょんぴょん	107	471	38
ぴりぴり	8	910	74
ぴんぴん	5	171	45
ふう	2378	75989	369
ふかふか	19	350	45
ふくらし粉	8	43	3
ふくれっ面	6	85	20
ふぐり	15	17	11
ふける	219	2178	3
ふさふさ	206	377	33
ふざける	60	3584	258
ふしだら	71	132	17
ふっくら	154	85	124
ふっくり	6	12	5
ふっつり	4	22	5
ふつふつ	11	344	15
ふてぶてしい	35	249	28
ふと	1222	18562	1100
ふとっちょ	27	157	19
ふにゃふにゃ	4	153	24
ふふふ	19	541	204
ふやかす	2	400	37
ふやける	1	448	19
ふらつく	31	2246	57
ふらふら	97	257	242
ふるふる	6	88	29
ふわふわ	357	2794	216
ふわり	112	726	53
ふん	2232	1618	315
ふんだくる	3	145	9
ふんだん	18	106	113
ふんわり	154	1851	133
ぶかぶか	11	43	11
ぶきっちょ	4	50	6
ぶくぶく	12	471	32
ぶち	1253	712	57
ぶっ	1418	1801	214
ぶっきらぼう	77	566	42
ぶっつけ	186	327	18
ぶつ	2788	6383	15
ぶつかる	659	14304	516
ぶつくさ	3	46	6
ぶつける	586	9750	364
ぶつぶつ	56	501	207
ぶつ切り	88	315	27
ぶよぶよ	27	87	18
ぶらぶら	218	1852	214
ぶらんこ	50	1521	76
ぶら下がる	162	3068	138
ぶら下げる	95	2112	120
ぶりぶり	84	124	15
ぶるぶる	25	901	137
ぶれる	38	5190	148
ぶんぶん	68	848	45
ぶん投げる	3	91	3
ぶん殴る	16	513	27
ぷかぷか	10	389	22
ぷくぷく	19	122	6
ぷっくり	3	144	25
ぷっつり	9	192	14
ぷりぷり	33	320	63
ぷんぷん	31	562	85
へいへい	3	40	11
へえ	132	844	758
へぐ	6	705	3
へこたれる	6	536	18
へし折る	32	257	17
へっぽこ	49	180	19
へとへと	20	1024	59
へなへな	4	48	11
へばる	2	198	10
へべれけ	29	107	14
へま	31	377	32
へらへら	34	361	25
へろへろ	29	425	64
べたべた	13	1281	83
べったら漬	11	20	6
べったり	54	1411	86
べっとり	8	181	29
べとべと	15	338	29
べべ	19	25	14
べり	236	557	11
べろべろ	14	136	16
べんちゃら	2	9	6
ぺこぺこ	3	114	44
ぺこり	1	140	74
ぺたぺた	8	371	15
ぺたんこ	1	212	32
ぺちゃくちゃ	14	125	14
ぺちゃんこ	10	344	20
ぺてん	9	373	26
ぺてん師	5	6	3
ぺらぺら	18	172	63
ぺろぺろ	6	246	24
ほう	23706	3750	446
ほかほか	11	425	28
ほくほく	315	816	56
ほざく	2	564	40
ほじくる	9	167	10
ほっそり	131	126	62
ほったらかし	47	1802	88
ほっと	790	14509	854
ほつれ	66	223	8
ほつれる	3	246	22
ほとほと	28	472	37
ほとぼり	80	258	16
ほな	163	411	74
ほやほや	8	349	23
ほら	411	5117	676
ほろほろ鳥	10	33	3
ほろ苦い	93	625	52
ほろ酔い	60	542	26
ほんのり	77	2256	148
ぼうっと	15	2359	238
ぼこぼこ	7	159	96
ぼさぼさ	42	436	35
ぼそぼそ	23	557	43
ぼちぼち	18	1985	203
ぼってり	5	38	8
ぼつぼつ	8	341	19
ぼとぼと	8	208	4
ぼやかす	8	148	6
ぼやき	95	502	23
ぼやく	45	954	72
ぼやける	32	2271	74
ぼやぼや	5	10	8
ぼる	295	12582	52
ぼろい	7	843	22
ぼろぼろ	198	502	264
ぼんち	244	89	1
ぼんぼん	47	112	17
ぼんやり	353	2508	388
ぽい	172	716	2795
ぽか	18	173	25
ぽかぽか	50	1657	117
ぽたぽた	5	415	24
ぽたり	1	67	5
ぽちゃぽちゃ	5	35	1
ぽっかり	38	1144	49
ぽっくり	20	124	7
ぽっちり	4	19	6
ぽっと出	2	65	6
ぽっぽ	108	323	48
ぽつぽつ	26	1513	81
ぽつり	16	1641	100
ぽつりぽつり	7	244	24
ぽとぽと	1	64	5
ぽろぽろ	60	1077	74
ぽん	823	6670	356
